job_id,job_name,company_name,posted_date,location,job_description,reference_date,job_search
10600410,High Content Screening and Automation Expert,Friedrich Miescher Institute for Biomedical Research,20 August,"Basel, Switzerland",,2021-09-07,Data Scientist
00000571516cc6060110e67d3cd47f4a26cce980a9,Data Scientist / Visualization Business Analyst,wega Informatik AG,12 August,Switzerland,"Data Scientist / Visualization Business Analyst 

 Click here to login or register  





Search For more jobs  |  Forward this job to a friend  |  APPLY by email without registration  |  APPLY by creating / using an account 




Reference # :  
20-00017 
Title :  
Data Scientist / Visualization Business Analyst 


Location :  
 Switzerland  


Position Type :  
Contract/Temporär 


Experience Level :  
6 Years 
Start Date / End Date :  
01/02/2021 / 31/12/2020 
  


 Description  


General information:  Start date: ASAPEnd date: 31.12.2021 (an extension is possible)Work load: 80 - 100%Work location: Basel and remote  Main tasks:  
 
Aggregate and create simple but powerful data representations from distributed data sources 
Prioritize, often conflicting requirements in close collaboration with key business stakeholders  
Collaborate closely with the project delivery team to establish epics, user stories, acceptance criteria and detailed specifications  
Contribute to development sprints by explaining and detailing requirements to the delivery team, and by reviewing and providing feedback on delivered solutions 
Serve as the single point of contact between the business and the development team and translate business user stories into technical user stories  
Serve as an interface to the testing team, to explain test objectives and ensure automation of test scripts wherever possible 
   Qualification and Experience: 
 
University degree in Biology, IT or similar background 
Hands on experience in Data Visualization/Graphic Design discipline 
Strong analytical skills combined with conceptual thinking and structured working style  
Ability to work in a multicultural geographically distributed team 
Strong communication skills 
Fluent in English 
Knowledge of data visualisation tools, such as D3.js, Plotly and project-based work experience in the pharmaceutical industry would be a big plus 
 



",2021-09-07,Data Scientist
0000714304e80ebc8119849bf2ae9cf86d691260a5,Clinical Research Scientist - contractor Switzerland,Consultants in Science Sàrl,08 February,Suisse Switzerland,"Clinical Research Scientist - contractor Switzerland 
 
 
Feb 8 
1 min read 
  
 Clinical Research Scientist - contractor Switzerland We are looking for a Clinical Research Scientist for a contract with a global pharmaceutical company in the Neuchatel area, Switzerland.  Home-based working is possible but the position holder must be resident in Switzerland or willing to relocate to Switzerland. Key requirements for this position include:  
 Experience in clinical research and development in clinical science capacity.  
 Experience in performing clinical data review review.  
 Familiar with working with data listings and laboratory data.  
 Previous experience in clinical research in hematology/oncology field   
 Ability to function independently.  
  Please contact   recruitment@consultantsinscience.com   for more information   
Vacancies 
 We are looking for a Clinical Research Scientist for a contract with a global pharmaceutical company in the Neuchatel area, Switzerland.  Home-based working is possible but the position holder must be resident in Switzerland or willing to relocate to Switzerland. Key requirements for this position include:  
 Experience in clinical research and development in clinical science capacity.  
 Experience in performing clinical data review review.  
 Familiar with working with data listings and laboratory data.  
 Previous experience in clinical research in hematology/oncology field   
 Ability to function independently.  
  Please contact   recruitment@consultantsinscience.com   for more information ",2021-09-07,Data Scientist
0000057796971436431aef6875a9b7997990809a5f,Data Engineer.,NAGRA Kudelski Group,11 März,"Cheseaux, Switzerland","Data Engineer.Data Engineer.  Stimulating. Motivating. Challenging.  NAGRA, a digital TV division of the Kudelski Group provides security and multiscreen user experience solutions for the monetization of digital media. The company offers content providers and DTV operators worldwide secure, open, integrated platforms and applications over broadcast, broadband and mobile platforms, enabling compelling and personalized viewing experiences.   Location: Cheseaux, Switzerland Mission As part of the Kudelski Group “Insight” initiative, we are developing business performance solutions for major telecom operators around the world, powered by state-of-the-art machine learning and probabilistic algorithms. Would you like to join a nimble, focused and fast-moving team within a well-established company? We are a team of techies, data crunchers, and business experts, willing to make a difference in a quickly changing industry - get in touch! Responsibilities As a member of our team, you will be responsible for the design and development of the pipelines and cloud infrastructure to ingest and process large sets of data. You will get the chance to have an immediate impact on ongoing projects and plenty of learning opportunities in data engineering, cloud computing, and data science.   Your main responsibilities will be to:   
Design and develop data processing pipelines and their related infrastructure. 
Collaborate on the development of our products and internal tools, used by our clients, and our engineers and data scientists. 
Support data scientists on projects: build, operationalize, monitor, and maintain data processing pipelines in order to extract the information that will feed business analyses and machine learning models. 
Communicate with our clients’ business intelligence team to organize the data exchange, discuss and tackle eventual issues. 
Stay on top of evolving technologies by testing state-of-the-art tools, reading technical literature and attending professional conferences. 
 Requirements / Profile  You have   
Studies in Computer Science, Computer Engineering, or a related field of study, or 3 years of working experience 
Strong understanding of Object Oriented Programming with experience in Java or Scala, and Python. Knowledge of other languages is welcomed too. 
Solid understanding of SQL, and hands of experience with multiple types of databases (relational, document oriented, NoSQL, etc) 
Experience with containerization such as Docker, and experience or a strong interest to learn container orchestration technologies such as Kubernetes 
Experience working in CI a CD environment 
You feel comfortable using the terminal (I.e., connecting to a remote machine via SSH, running or editing a script) 
Strong written and spoken English   
   Bonus points   
Experience with Spark/PySpark/SparkSQL 
Experience with building data processing pipelines 
Experience with AWS 
Familiarity with Agile engineering practices , and have an entrepreneurship spirit, being open to discuss ideas and solutions with the other members of the team 
Strong written and verbal communication skills 
Experience with operationalizing Machine Learning models at scale 
Experience in the domain of the telecom or Pay-TV industry 
    Reference: 11850 Publication Date: 16-07-2021  Stimulating. Motivating. Challenging.  NAGRA, a digital TV division of the Kudelski Group provides security and multiscreen user experience solutions for the monetization of digital media. The company offers content providers and DTV operators worldwide secure, open, integrated platforms and applications over broadcast, broadband and mobile platforms, enabling compelling and personalized viewing experiences.   Location: Cheseaux, Switzerland Mission As part of the Kudelski Group “Insight” initiative, we are developing business performance solutions for major telecom operators around the world, powered by state-of-the-art machine learning and probabilistic algorithms. Would you like to join a nimble, focused and fast-moving team within a well-established company? We are a team of techies, data crunchers, and business experts, willing to make a difference in a quickly changing industry - get in touch! Responsibilities As a member of our team, you will be responsible for the design and development of the pipelines and cloud infrastructure to ingest and process large sets of data. You will get the chance to have an immediate impact on ongoing projects and plenty of learning opportunities in data engineering, cloud computing, and data science.   Your main responsibilities will be to:   
Design and develop data processing pipelines and their related infrastructure. 
Collaborate on the development of our products and internal tools, used by our clients, and our engineers and data scientists. 
Support data scientists on projects: build, operationalize, monitor, and maintain data processing pipelines in order to extract the information that will feed business analyses and machine learning models. 
Communicate with our clients’ business intelligence team to organize the data exchange, discuss and tackle eventual issues. 
Stay on top of evolving technologies by testing state-of-the-art tools, reading technical literature and attending professional conferences. 
 Requirements / Profile  You have   
Studies in Computer Science, Computer Engineering, or a related field of study, or 3 years of working experience 
Strong understanding of Object Oriented Programming with experience in Java or Scala, and Python. Knowledge of other languages is welcomed too. 
Solid understanding of SQL, and hands of experience with multiple types of databases (relational, document oriented, NoSQL, etc) 
Experience with containerization such as Docker, and experience or a strong interest to learn container orchestration technologies such as Kubernetes 
Experience working in CI a CD environment 
You feel comfortable using the terminal (I.e., connecting to a remote machine via SSH, running or editing a script) 
Strong written and spoken English   
   Bonus points   
Experience with Spark/PySpark/SparkSQL 
Experience with building data processing pipelines 
Experience with AWS 
Familiarity with Agile engineering practices , and have an entrepreneurship spirit, being open to discuss ideas and solutions with the other members of the team 
Strong written and verbal communication skills 
Experience with operationalizing Machine Learning models at scale 
Experience in the domain of the telecom or Pay-TV industry 
    Reference: 11850 Publication Date: 16-07-2021",2021-09-07,Data Scientist
000071430494c3b4e76797490ce08fd47e8ae94b37,Senior Clinical Research Scientist - contractor Switzerland,Consultants in Science Sàrl,16 August,Suisse Switzerland,"Senior Clinical Research Scientist - contractor Switzerland 
 
 
Aug 16 
1 min read 
  
 Senior Clinical Research Scientist - contractor Switzerland We are looking for a Senior Clinical Research Scientist for a contract with a global pharmaceutical company in the Neuchatel area, Switzerland.  There is an option for mixture home/office working (min 2 days/week in office), however position holder must be resident in Switzerland or willing to relocate there. Key requirements for this position include:  
 Minimum 5 years' experience in clinical science capacity.  
 Oncology and/or hematology experience.  
 Experienced in clinical data review, including cleaning both safety and efficacy data.  
 Capability to lead complex combination therapy trial.  
  Please contact   recruitment@consultantsinscience.com   for more information   
Vacancies 
• 
Consultants 
 We are looking for a Senior Clinical Research Scientist for a contract with a global pharmaceutical company in the Neuchatel area, Switzerland.  There is an option for mixture home/office working (min 2 days/week in office), however position holder must be resident in Switzerland or willing to relocate there. Key requirements for this position include:  
 Minimum 5 years' experience in clinical science capacity.  
 Oncology and/or hematology experience.  
 Experienced in clinical data review, including cleaning both safety and efficacy data.  
 Capability to lead complex combination therapy trial.  
  Please contact   recruitment@consultantsinscience.com   for more information ",2021-09-07,Data Scientist
0000850872e15c027878769105245d70d62feb6ba8,Clinical Scientist Team Lead- Cell Therapy,Bristol-Myers Squibb SA,15 April,"Boudry, Switzerland","Clinical Scientist Team Lead- Cell TherapyBei Bristol Myers Squibb lassen wir uns von einer einzigen Vision inspirieren - die Veränderung des Lebens von Patienten durch Wissenschaft. In den Bereichen Onkologie, Hämatologie, Immunologie und Herz-Kreislauf-Erkrankungen - und eine der vielfältigsten und vielversprechendsten Pipelines der Branche - trägt jeder unserer leidenschaftlichen Kollegen zu Innovationen bei, die bedeutende Veränderungen vorantreiben. Wir verleihen jeder Therapie, für die wir Pionierarbeit leisten, eine menschliche Note. Kommen Sie zu Bristol Myers Squibb und machen Sie einen Unterschied. Collaborate and liaise with internal and external partners (e.g., KOLs, CROs) Develop Protocol and ICF documents / amendments (writing, reviewing, amending and cross-functional facilitation as appropriate) Present at governance committees and development team meetings as required Conduct literature reviews Develop site and CRA training materials and present these at SIVs and Investigator meetings Review clinical narratives Monitor clinical data for specific trends Develop Data Review Plan in collaboration with Data Management Ensure CRF design adequately supports data collection in alignment with the protocol in collaboration with Data Management/Programming Submit clinical contributions to clinical study reports (CSRs) and clinical portions of Regulatory Documents (e.g., IB, DSUR, PSUR, Orphan Annual Reports, HA, EC, IRB responses and contribute to regulatory submission.) Support study committee (e.g., DMC) activities (e.g., charters, meetings, presentations) as required Provide regular and timely updates to manager/management as requested Seek out and enact best practices with instruction Submit clinical documents to TMF May support program level activities as requested Wir setzen uns auf der ganzen Welt leidenschaftlich dafür ein, das Leben von Patienten mit schweren Krankheiten zu beeinflussen. Unsere gemeinsamen Werte Leidenschaft, Innovation, Dringlichkeit, Verantwortlichkeit, Inklusion und Integrität befähigen uns, unsere individuellen Talente und unterschiedlichen Perspektiven in einer integrativen Kultur einzusetzen und bringen das höchste Potenzial jedes unserer Kollegen hervor. Bristol Myers Squibb weiß um die Bedeutung von Balance und Flexibilität im Arbeitsumfeld. Wir bieten daher eine Vielzahl von attraktiven Benefits, Dienstleistungen und Programmen an, die unseren Mitarbeitern die Ressourcen bieten, ihre Ziele sowohl bei der Arbeit als auch in ihrem Privatleben zu verfolgen.",2021-09-07,Data Scientist
0000437865552fe8d144cb51cd275fae75a4affa0d,Clinical Research Scientist,Eli Lilly (Suisse) SA,23 August,"Switzerland Vernier, Switzerland","Clinical Research ScientistAt Lilly, we unite caring with discovery to make life better for people around the world. We are a global healthcare leader headquartered in Indianapolis, Indiana. Our 35,000 employees around the world work to discover and bring life-changing medicines to those who need them, improve the understanding and management of disease, and give back to our communities through philanthropy and volunteerism. We give our best effort to our work, and we put people first. We’re looking for people who are determined to make life better for people around the world. In order to reinforce the Medical department of the Swiss affiliate, located in Vernier (Geneva), we are looking for a   MEDICAL ADVISOR / MEDICAL LIAISON - Diabetes (Switzerland)   Job responsibilities:  This hybrid role comprises both strong external focus through Thought Leader engagement and internal focus through strategic and operational work for the assigned therapeutic area and product(s). You will establish and maintain relationships, understand the needs and align projects with thought leaders, scientific experts and the Diabetes medical community, with a focus on Suisse Romande, but the flexibility to support key national initiatives and engage top Thought Leaders across the whole country if required. As the in-house medical expert you will work closely together with Marketing, Sales and other departments on the life cycle and business plans to develop pre- and post-launch medical strategies and tactics. You will organize and lead medical advisory boards, scientific exchange and educational meetings and initiatives, develop and train speakers and provide scientific training to the sales force. You will be responsible for presenting, disseminating and discussing scientific data and product profiles, and for replicating global best practices to fill local unmet needs. If needed, you will collaborate with the clinical operations and real world evidence teams and provide medical leadership for clinical studies and registries, and will support externally-initiated research initiative too. With your scientific expertise, you will contribute to regulatory and reimbursement dossiers.   Job requirements:  Holder of a higher university degree in medicine, pharmacy or life sciences (MD, BC/BE in Endocrinology or Internal Medicine, PharmD, PhD), you have a strong clinical / research track record and network in the field of diabetes and have preferably gained experience in the pharmaceutical industry (e.g. as medical science liaison – MSL or Medical Advisor). You are preferably fluent in French, German and English. You like to work cross-functionally and have a strong team spirit, as well as the ability to influence others and create a positive working environment to achieve common goals. You have excellent written and oral communications skills, you are strong at focusing and prioritizing, demonstrate business acumen and know how to adapt your message according to the audience. You are customer-focused (ca. 3 days/week should be spent meeting with customers, either in-field or virtually), performance oriented and love to present and discuss data with external and internal audiences. You have excellent organizational and digital skills.  The offer:   The chance to join one of the most successful global pharmaceutical companies and contribute to the Medical launch strategy for assets in the Diabetes therapeutic area. An exciting role within the medical and cross-functional organization, as well as many varied and enriching contacts. Possibility to work remotely.  We thank you for your interest in our company. Eli Lilly and Company, Lilly USA, LLC and our wholly owned subsidiaries (collectively “Lilly”) are committed to help individuals with disabilities to participate in the workforce and ensure equal opportunity to compete for jobs. If you require an accommodation to submit a resume for positions at Lilly, please email Lilly Human Resources ( Lilly_Recruiting_Compliance@lists.lilly.com ) for further assistance. Please note This email address is intended for use only to request an accommodation as part of the application process. Any other correspondence will not receive a response. Lilly does not discriminate on the basis of age, race, color, religion, gender, sexual orientation, gender identity, gender expression, national origin, protected veteran status, disability or any other legally protected status.",2021-09-07,Data Scientist
00008508726e1a2e92e3890cefc5cfb28b33d205df,"Sr. Specialist, Scientist, QC",Bristol-Myers Squibb SA,04 August,"Boudry, Switzerland","Sr. Specialist, Scientist, QCBei Bristol Myers Squibb lassen wir uns von einer einzigen Vision inspirieren - die Veränderung des Lebens von Patienten durch Wissenschaft. In den Bereichen Onkologie, Hämatologie, Immunologie und Herz-Kreislauf-Erkrankungen - und eine der vielfältigsten und vielversprechendsten Pipelines der Branche - trägt jeder unserer leidenschaftlichen Kollegen zu Innovationen bei, die bedeutende Veränderungen vorantreiben. Wir verleihen jeder Therapie, für die wir Pionierarbeit leisten, eine menschliche Note. Kommen Sie zu Bristol Myers Squibb und machen Sie einen Unterschied. The Scientist is part of the Technical Support team of the Quality Control (QC) department of Celgene, Switzerland. The QC department is responsible for testing raw materials, drug substance (API), drug product (Bulk) and stability samples for oral solid dosage forms manufactured at the site. The Scientist provides technical and scientific expertise to support acquisition and qualification of new equipment, investigation and troubleshooting of analytical and equipment issues as well as introduction of new products to the QC laboratories. Additional duties include performing super user activities for the laboratory computerized systems, representing QC in cross-functional projects (e.g. for new product implementation) and participating in internal and external audits as Subject Matter Expert (SME). This position is located at the Celgene site in Boudry. Skills/Knowledge required BS degree in Life Sciences, Chemistry, or equivalent; 5 years of work experience in a GMP environment (pharmaceutical industry) Advanced knowledge and interpretation of cGMP and Pharmacopeia requirements Excellent scientific knowledge and hands-on experience of chromatography techniques (HPLC, UPLC, GC), dissolution, UV/VIS and IR techniques. Experience of analytical testing according to Ph. Eur. and USP requirements. Experience in analytical method transfers and analytical method validation/verification. Experience in laboratory equipment qualification. General computer literacy including MS Office (Word, Excel, PowerPoint, Outlook, Visio) Good knowledge and/or ability to familiarize themselves quickly with new software and computerized systems (specific instrument software, Empower, LIMS). Good knowledge of Data Integrity principles, familiar with audit trail review requirements. Effective verbal communication skills, ability to interact with different levels of the organization: supervisor, peers, lab analysts, and other departments Effective technical writing skills, experience writing GMP documents (procedures, protocols, plans and reports) as well as deviations and investigations. Takes a structured and analytical approach to problem-solving. Is familiar with problem-solving and investigation tools and methodologies. Ability to work collaboratively and cross-functionally in project teams. Fluent in English or French and professional command of the second language (written and verbal) Duties and Responsibilities Responsible for acquisition and qualification of new analytical equipment: Works cross-functionally with the Analytical Development, QC, IT and Validation departments to select, purchase and qualify new analytical equipment for the QC laboratories. Owns the change control, leads or supports risk assessments, Performs feasibility experimental work as needed Configures user-profiles and methods on the instrument. Collaborates with Validation and Sourcing to define requirements and contracts for the periodic maintenance and requalification of the equipment. Uses scientific and technical expertise to investigate and resolve technical issues in the laboratory. Owns deviations. Leads or supports laboratory investigations in case of out of specification or out of trend results. Can approve laboratory investigation checklists. Provides guidance for confirmatory testing. Writes or reviews investigative testing plans or retests plans prior to execution. Defines corrective and preventive actions (CAPA). Represents QC in project teams (e.g. for new product introductions to the site) Represents QC in cross-functional project teams, interacting with Project Management Office, Manufacturing, Analytical Development, Analytical Science and Technology. Supports QC management in identifying needs for new equipment and assessing impact on laboratory systems and processes as well as on resource planning. Leads or supports risk assessments, owns change controls. Reviews method transfer plans. Performs or supports feasibility experimental work as needed. Supports method transfer, method verification and method validation activities. Super-user of laboratory computerized systems: Administers user-profiles and access to the systems, Defines requirements and performs audit trail reviews, assures adherence to data integrity principles, Authors instrument/system operating procedures, trains QC analysts on use of the system. Performs master data management activities in computerized systems (LIMS, Oracle, Empower). Maintains the GMP status of the laboratory and analytical methods. Performs all activities in compliance to cGMP requirements as well as to EHS rules and safe work practices per applicable procedures. Evaluates impact of compendial changes on applicable QC procedures and opens change controls as required. Actively participates in inspections by health authorities and in corresponding preparation. Performs other tasks as assigned Wir setzen uns auf der ganzen Welt leidenschaftlich dafür ein, das Leben von Patienten mit schweren Krankheiten zu beeinflussen. Unsere gemeinsamen Werte Leidenschaft, Innovation, Dringlichkeit, Verantwortlichkeit, Inklusion und Integrität befähigen uns, unsere individuellen Talente und unterschiedlichen Perspektiven in einer integrativen Kultur einzusetzen und bringen das höchste Potenzial jedes unserer Kollegen hervor. Bristol Myers Squibb weiß um die Bedeutung von Balance und Flexibilität im Arbeitsumfeld. Wir bieten daher eine Vielzahl von attraktiven Benefits, Dienstleistungen und Programmen an, die unseren Mitarbeitern die Ressourcen bieten, ihre Ziele sowohl bei der Arbeit als auch in ihrem Privatleben zu verfolgen.",2021-09-07,Data Scientist
0000057151050b139c52a5604eb65dd38276046e8c,Research Informatics Specialist / Database Developer (Life Sciences),wega Informatik AG,01 September,Switzerland,"Research Informatics Specialist / Database Developer (Life Sciences) 

 Click here to login or register  





Search For more jobs  |  Forward this job to a friend  |  APPLY by email without registration  |  APPLY by creating / using an account 




Reference # :  
19-00194 
Title :  
Research Informatics Specialist / Database Developer (Life Sciences) 


Location :  
 Switzerland  


Position Type :  
Permanent / Festanstellung@wega 


Experience Level :  
Start Date :  
04/08/2021 
  


 Description  


We are a Life Science and IT service provider that has been successfully carrying out 'state-of-the-art' projects for international customers for more than 25 years. Our consultants mainly work on our customer's premises, integrated in the customer's project team.We pride ourselves on being a dynamic forward thinking organization and we are looking for like-minded individuals that are driven by ambition and highly motivated by challenging jobs, as well as financial incentives.With our attractive compensation and benefits model, this is a great opportunity to maximize your earning potential. The further development of our colleagues and team members as well as an excellent work atmosphere are amongst the top values of our company.Our group ""Research & Lab IT” is seeking professionals with the below mentioned profile.  Mission: The objective of the mission is to support the implementation and maintenance of the Corporate Preclinical Database and related systems for the collection, processing, analysis and registration of all chemical and biological information gathered during projects (e.g. ELN, Inventories, Data Analysis and Visualization).  Main tasks: 
 
Supports scientists in the definition and maintenance of a standardized data organization and related dictionaries and prepares guidelines for chemical and biological data collection, processing, and analysis 
Participates to the design, development, implementation, support and maintenance of the corporate preclinical database and related systems (ELN, Inventories, Data Analysis and Visualization) 
Supports the timely submission (including preparation and curation as needed) of the data to local and corporate databases 
Manages data in the corporate preclinical corporate database and related systems 
Designs, develops and maintains tools supporting and automating data workflows from collection to analysis. 
Maintains software and database documentation. 
Organizes regular trainings and supports discovery and preclinical staff on the corporate preclinical database and related systems 
Familiarises himself/herself with the resources available in other parts of the organisation and is aware of the strategic importance of his/her project work with respect to goals. 
Ensures when needed, the validation of software and databases as required by international regulations.      
Responsible for the security of sensitive data, takes appropriate actions to prevent unauthorised access from outside or within the company. 
Manages relationships with solution and resource providers 
 Qualification & Experience:  Education: 
 
Bachelor or Master degree in Computer Science, Biology, or Chemistry 
 Professional Skills & Experience: 
 
Has expertise in Computer Science applied to Life Sciences (Chemistry, Biology, Pharmacology) 
Is at ease with web software development, database management systems (preferably Oracle) and data analysis, independently of platform or language. 
Is familiar with configuration and customization of  commercial research and preclinical data management systems (preferably Dotmatics software suite) 
Has at least 3 years of practical experience in industry or academic institutions, in charge of a scientific informatics platform/database development and management of research database for Life Science 
Has experience in web server and database administration 
Has experience in IT project management 
 Communication & Interpersonal Skills: 
 
Writes internal/external reports and software documentation. 
Communicates effectively with supervisor or any other scientist relevant to the project as needed. 
Is able to explain the scope of work to non IT specialists 
Is capable of making oral communications to international standards. 
Fluency in English is mandatory, French would be an asset 
Is able to adapt to a research environment: understanding of scientific issues and their specific requirements. 
Trains collaborators on the usage of scientific software. May supervise the work of external staff (solution vendors) 
   



",2021-09-07,Data Scientist
0000057151af703b7126914b1fc1ce6c65d607169a,Lab Automation Consultant,wega Informatik AG,06 August,Switzerland,"Lab Automation Consultant 

 Click here to login or register  





Search For more jobs  |  Forward this job to a friend  |  APPLY by email without registration  |  APPLY by creating / using an account 




Reference # :  
20-00060 
Title :  
Lab Automation Consultant 


Location :  
 Switzerland  


Position Type :  
Permanent / Festanstellung@wega 


Experience Level :  
Start Date :  
04/08/2021 
  


 Description  


We are a Life Science and IT service provider that has been successfully carrying out 'state-of-the-art' projects for international customers for more than 25 years, now. Our consultants mainly work on our customer's premises and are integrated in the client's project team.We pride ourselves on being a dynamic forward thinking organization and we are looking for like-minded individuals that are driven by ambition and furthermore, highly motivated by challenging job opportunities, as well as financial incentives.This is a great chance to maximize your earning potential with our attractive compensation and benefits model. Wega offers many opportunities of advancement for our colleagues and team members as well as an excellent work atmosphere, which are amongst the top values of our company. Our group ""Research & Lab IT” is seeking professionals with the below mentioned profile.  Mission: The objective is to support the implementation, operation, qualification and maintenance of lab automation systems, chromatography data systems and LIMS/LES systems.  Main tasks: 
 
Supports lab technicians and scientists installing and configuring the digital lab (lab automation, LIMS connectivity) 
Configuring / scripting instrument connectivity solutions / services 
Performing installation qualifications (IQ) 
Maintains software, configuration, qualification and database documentation 
 Qualification & Experience:  Education: 
 
Lab technician (apprenticeship) or Bachelor or Master degree in Biology, Bioinformatics, Chemistry or other life science degree. Affinity/ keen interest in understanding  laboratory informatic solutions is important 
 Professional Skills & Experience: 
 
Familiar with configuration and customization of commercial lab autoamtion systems (LIMS, ELN, LES) and/or Chromatography Data Systems (CDS) like Empower or Chromeleon 
Some years of practical experience in industry or academic institutions, ideally in charge of installing, qualifying or supporting lab automation solutions 
Experience with working in an agile way in business and IT projects 
Pharma experience 
Knowledge of the regulated pharma (QC) environment (GXP, GMP, GLP) is a plus 
 Communication & Interpersonal Skills: 
 
Communicates effectively with supervisor or any other scientist relevant to the project as needed 
Is able to explain his/her work to lab people (e.g. non IT specialists) 
Is capable to adapt and communicate according to international standards 
Fluency in English is mandatory, German is a plus, French would be an asset 
Is able to adapt to research or QC environment: understanding of issues and their specific requirements 
 



",2021-09-07,Data Scientist
